temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
501000	0.4858778	0.565808368	0.667892039	2.881218734	4.355338413	295.2152824	292.6461404	289.5458025
501300	0.48577132	0.565691632	0.667698119	2.895687941	4.493270648	295.2095918	292.6294881	289.5076386
501600	0.485665461	0.565573813	0.667502096	2.910279262	4.644858219	295.2038888	292.612709	289.4691102
501900	0.485559602	0.565455994	0.667306073	2.924859334	4.795504384	295.1981858	292.5959299	289.4305818
502200	0.48545026	0.565327615	0.667090277	2.940783615	4.864091877	295.1920548	292.5778808	289.3885514
502500	0.485340531	0.565198063	0.666872284	2.956845172	4.92327515	295.1858764	292.5596905	289.3461318
502800	0.485230802	0.565068512	0.66665429	2.97289329	4.982096192	295.1796979	292.5415003	289.3037122
503100	0.485109349	0.564928972	0.666435914	2.989686405	4.910382944	295.1728636	292.5220909	289.261473
503400	0.484986594	0.564788322	0.666217496	3.006548659	4.824354255	295.1659565	292.502546	289.2192538
503700	0.484863839	0.564647672	0.665999078	3.023395695	4.73850055	295.1590493	292.4830011	289.1770347
504000	0.484743274	0.564500278	0.665796742	3.039876009	4.654369811	295.1518738	292.4626642	289.1383097
504300	0.484622953	0.564352134	0.665596193	3.056301676	4.570493638	295.1446686	292.4422393	289.099973
504600	0.484502632	0.564203989	0.665395645	3.072711732	4.486695169	295.1374633	292.4218145	289.0616363
504900	0.48437356	0.564052684	0.665208759	3.087916899	4.490313701	295.1296483	292.4010898	289.026363
505200	0.484243516	0.563901027	0.665023392	3.102975176	4.503605372	295.1217655	292.3803319	288.99143
505500	0.484113471	0.563749371	0.664838025	3.118018749	4.516860084	295.1138827	292.3595739	288.956497
505800	0.483973949	0.563596811	0.664660934	3.131667729	4.517887819	295.1054405	292.3388231	288.9234595
506100	0.483833374	0.563444151	0.664484762	3.145149995	4.517551338	295.0969362	292.3180731	288.8906327
506400	0.483692799	0.563291492	0.664308591	3.158618935	4.517206519	295.0884318	292.2973231	288.8578059
506700	0.483556674	0.56313991	0.664146309	3.170693897	4.445418358	295.079756	292.2768404	288.8278616
507000	0.483421044	0.562988448	0.663985571	3.182603613	4.365716313	295.0710612	292.2563874	288.7982376
507300	0.483285414	0.562836987	0.663824833	3.194501567	4.286039272	295.0623663	292.2359344	288.7686136
507600	0.483141021	0.562687871	0.663673813	3.204987552	4.301250739	295.0531382	292.2159269	288.7410536
507900	0.482995654	0.562539015	0.663523872	3.215307771	4.32695671	295.0438509	292.195969	288.713723
508200	0.482850287	0.56239016	0.663373932	3.225617884	4.352613066	295.0345635	292.176011	288.6863923
508500	0.482711274	0.562244151	0.663228928	3.234845407	4.356185599	295.0252448	292.1565626	288.6601369
508800	0.482572967	0.562098459	0.663084474	3.243944915	4.357300681	295.0159225	292.1371709	288.6340009
509100	0.48243466	0.561952767	0.662940019	3.253035637	4.358408687	295.0066003	292.1177791	288.607865
509400	0.482293933	0.561809487	0.662795852	3.261428451	4.388079517	294.9969743	292.0988361	288.5817917
509700	0.482152936	0.561666475	0.662651717	3.269736749	4.420844779	294.9873146	292.079943	288.5557254
510000	0.48201194	0.561523463	0.662507582	3.278037143	4.453526204	294.9776549	292.0610499	288.5296591
510300	0.481884815	0.56138245	0.662364548	3.286023066	4.445448015	294.9682181	292.0425378	288.5037961
510600	0.481759231	0.561241659	0.662221636	3.293967473	4.432859705	294.9588061	292.0240681	288.4779558
510900	0.481633648	0.561100869	0.662078724	3.301904451	4.420285712	294.9493941	292.0055983	288.4521155
511200	0.48153231	0.560962303	0.661938066	3.30980348	4.422339635	294.9405499	291.9875288	288.4266894
511500	0.481433666	0.560823984	0.661797659	3.317691909	4.426006069	294.9317688	291.9695037	288.4013094
511800	0.481335022	0.560685665	0.661657251	3.325573139	4.429659936	294.9229878	291.9514786	288.3759294
512100	0.481227795	0.560549375	0.661518215	3.333361817	4.440040306	294.9140298	291.9338157	288.3508038
512400	0.481119613	0.560413311	0.661379332	3.341134055	4.451141972	294.9050521	291.916193	288.3257066
512700	0.481011432	0.560277246	0.661240449	3.348899351	4.462215363	294.8960744	291.8985704	288.3006093
513000	0.48089224	0.560142328	0.661098652	3.35656353	4.504411572	294.886872	291.8811759	288.2748943
513300	0.480771825	0.560007536	0.66095653	3.364210486	4.549937292	294.8776446	291.8638069	288.2491107
513600	0.48065141	0.559872745	0.660814409	3.371850691	4.595325844	294.8684172	291.8464378	288.2233271
513900	0.480526793	0.559737259	0.660659377	3.379772162	4.698031978	294.8589349	291.829036	288.1949175
514200	0.48040171	0.559601695	0.66050291	3.387718639	4.806615316	294.8494242	291.8116306	288.1662162
514500	0.480276626	0.559466132	0.660346443	3.395658107	4.914672552	294.8399135	291.7942253	288.1375148
514800	0.480188032	0.559328026	0.660170605	3.404781904	5.012064449	294.8311733	291.7765198	288.1048441
515100	0.480103492	0.559189637	0.659992615	3.414029944	5.107775801	294.8225188	291.7587811	288.0717324
515400	0.480018952	0.559051249	0.659814625	3.423269797	5.202931724	294.8138642	291.7410423	288.0386207
515700	0.47994848	0.558909762	0.659634061	3.433776902	5.120688483	294.8055482	291.7229013	288.0048493
516000	0.47987957	0.558767931	0.659453211	3.444416245	5.018901563	294.7972697	291.7047156	287.9710047
516300	0.479810661	0.558626099	0.659272362	3.455046042	4.91725506	294.7889913	291.6865298	287.9371601
516600	0.479721325	0.558482944	0.659112077	3.465653973	4.771193338	294.7803713	291.6681658	287.9073961
516900	0.47962972	0.558339642	0.658954078	3.47625089	4.620022645	294.7717133	291.649782	287.8780854
517200	0.479538115	0.55819634	0.658796078	3.486838155	4.468677884	294.7630553	291.6313982	287.8487748
517500	0.479445968	0.558053959	0.658646031	3.496648961	4.568969512	294.7544604	291.6131474	287.8211876
517800	0.47935376	0.55791168	0.658496868	3.506365644	4.696787208	294.7458726	291.5949114	287.7937918
518100	0.479261553	0.557769402	0.658347705	3.516073443	4.824137358	294.7372848	291.5766753	287.7663961
518400	0.479188177	0.557629928	0.658208644	3.525034557	4.735895177	294.729129	291.5588059	287.7410384
518700	0.479116893	0.557490766	0.658070706	3.53390563	4.623704507	294.7210212	291.5409773	287.7159071
519000	0.479045609	0.557351605	0.657932767	3.542768683	4.511490303	294.7129134	291.5231486	287.6907759
519300	0.478970675	0.557216008	0.657797631	3.550988062	4.582257622	294.7047911	291.5057955	287.6661302
519600	0.478895335	0.557080807	0.657662807	3.559129559	4.673084947	294.6966672	291.4884952	287.6415384
519900	0.478819994	0.556945606	0.657527982	3.56726384	4.763625205	294.6885433	291.471195	287.6169466
520200	0.478724592	0.556813648	0.657398655	3.574752724	4.703914361	294.6800431	291.454313	287.5934431
520500	0.47862696	0.55668205	0.657269939	3.582164192	4.627551477	294.6715012	291.4374776	287.5700604
520800	0.478529328	0.556550451	0.657141223	3.58956919	4.551214892	294.6629592	291.4206421	287.5466778
521100	0.47844453	0.556422972	0.657027419	3.596146601	4.474106898	294.6547203	291.4043363	287.5261944
