temps (s)	HR_4	HR_8	HR_12	FLX_8	FLX_16	T_4	T_8	T_12
1016400	0.706696697	0.714405023	0.753804092	3.34819185	7.211804808	295.7545261	293.0171447	288.7786013
1016700	0.706654729	0.714316316	0.753679966	3.365447174	7.135851684	295.7300174	292.9714474	288.729308
1017000	0.706612761	0.71422761	0.75355584	3.382695886	7.059901356	295.7055087	292.9257502	288.6800146
1017300	0.706571499	0.714149131	0.753446278	3.396657556	7.066076767	295.681082	292.8824346	288.6348476
1017600	0.706530236	0.714070652	0.753336717	3.410614135	7.072250215	295.6566552	292.839119	288.5896805
1017900	0.706488974	0.713992174	0.753227155	3.424565624	7.078421698	295.6322285	292.7958034	288.5445135
1018200	0.70644924	0.713923383	0.753128254	3.436134255	7.160363716	295.6081117	292.7548019	288.5021426
1018500	0.706409505	0.713854593	0.753029353	3.447698878	7.242327972	295.5839948	292.7138004	288.4597717
1018800	0.706369771	0.713785802	0.752930452	3.459259492	7.324314895	295.559878	292.6727989	288.4174008
1019100	0.706337157	0.713726002	0.75283944	3.469387976	7.310635142	295.5373779	292.6339793	288.3769602
1019400	0.706304543	0.713666203	0.752748428	3.479513132	7.296958647	295.5148778	292.5951597	288.3365195
1019700	0.706271928	0.713606403	0.752657415	3.489634959	7.28328541	295.4923776	292.5563402	288.2960788
1020000	0.706242002	0.713554807	0.752579685	3.498865666	7.209752886	295.4705674	292.5195372	288.2575526
1020300	0.706212076	0.713503211	0.752501955	3.508093497	7.136230934	295.4487572	292.4827343	288.2190263
1020600	0.70618215	0.713451614	0.752424224	3.517318452	7.062719549	295.426947	292.4459313	288.1805001
1020900	0.706153351	0.713407417	0.752353523	3.525693912	6.999346685	295.4054368	292.4109629	288.1442707
1021200	0.706124553	0.71336322	0.752282821	3.534066892	6.935981413	295.3839265	292.3759946	288.1080413
1021500	0.706095754	0.713319022	0.75221212	3.542437392	6.872623731	295.3624163	292.3410262	288.0718119
1021800	0.706072641	0.713281546	0.752146746	3.550249887	6.886972035	295.3422159	292.3077375	288.0364646
1022100	0.706049528	0.713244071	0.752081371	3.558060182	6.901315541	295.3220155	292.2744488	288.0011172
1022400	0.706026414	0.713206595	0.752015997	3.565868278	6.915654248	295.3018151	292.2411601	287.9657699
