Time,T_ext,P_hea,I_sol,T_int
255600.0,21.1788407298559,0.0,14.0786437988281,31.674899612609376
257400.0,21.5614874589325,0.0,14.0388927459717,31.608843833110974
259200.0,21.2553666750219,0.0,13.933201789856,31.550018295857
261000.0,21.100302733843,0.0,13.8650245666504,31.485769517683
262800.0,20.8217442126595,0.0,13.8694467544556,31.408040842576774
264600.0,20.3881765385362,0.0,13.8685646057129,31.356223001042625
266400.0,20.3371724665063,0.0,13.9862442016602,31.284976363917053
268200.0,20.5156895524856,0.0,13.8629751205444,31.217905004754222
270000.0,20.617705253544,0.0,13.8024244308472,31.15543749863115
271800.0,20.0353006049942,0.0,13.8888702392578,31.0971452707345
273600.0,19.3682424594069,0.0,13.8280515670776,31.032375828875075
275400.0,19.0878154703478,0.0,13.8148860931396,30.971499003572696
277200.0,18.6752071315247,0.0,13.8274927139282,30.902847006389827
279000.0,18.1780378688957,0.0,13.8493070602417,30.844037516292374
280800.0,18.1702220432117,0.0,13.8217430114746,30.7654673877484
282600.0,17.9408633606698,0.0,14.6288614273071,30.69876449659725
284400.0,17.7115197921248,0.0,25.0279903411865,30.631889380809422
286200.0,17.6659926547474,0.0,39.8902244567871,30.57581034453745
288000.0,17.9670256894275,0.0,92.9420852661133,30.560298591803676
289800.0,18.6863385902943,0.0,213.200042724609,30.5466564517547
291600.0,19.5212131120052,0.0,312.603210449219,30.4922649023467
293400.0,20.1943640876217,0.0,393.919311523437,30.426390048561302
295200.0,20.8381882413645,0.0,459.581115722656,30.380371346274472
297000.0,21.4913339527396,0.0,413.218383789063,30.332977489247078
298800.0,22.0972673160749,0.0,643.380004882813,30.313553433749224
300600.0,22.6687275415678,0.0,729.406799316406,30.274701792981773
302400.0,23.6265298683969,0.0,851.005187988281,30.255190962272827
304200.0,24.4387069451558,0.0,574.750427246094,30.242329272107952
306000.0,25.007301178973,0.0,851.989685058594,30.217744094745374
307800.0,25.6073230802429,0.0,565.520751953125,30.215741385381
309600.0,26.3230936380694,0.0,461.186096191406,30.2047737975437
311400.0,26.8512390374915,0.0,426.044311523438,30.197004910049653
313200.0,27.4956186306231,0.0,539.827270507813,30.17758133259365
315000.0,27.917200905148,0.0,482.038909912109,30.17758133259365
316800.0,28.147587339484,0.0,389.229309082031,30.1646319107648
318600.0,28.5044665929739,0.0,474.254730224609,30.1452092898
320400.0,27.6985996099506,0.0,380.483001708984,30.132256255598726
322200.0,27.7920929059667,0.0,160.045059204102,30.108997124088376
